model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
XLM-R,augmented_mixed,special_char,before_norm,0.4803684543776012,0.640119760479042,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,masked_word,before_norm,0.4317135774674789,0.546556886227545,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,masked_word,before_norm,0.4348782041590383,0.5441616766467066,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,slang_teencode,before_norm,0.4883009936776261,0.6540419161676647,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,slang_teencode,before_norm,0.481761727373571,0.6422155688622755,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,mixed_noise,before_norm,0.3084769826856782,0.3497005988023952,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,mixed_noise,before_norm,0.2992463798201089,0.3459580838323353,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
PhoBERT,unknown_setting,clean,before_norm,0.642683046845136,0.8632,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/multilingual_vs_phobert_comparison.csv,,,,,,,,,,,,,,,,,,unknown_setting
PhoBERT,unknown_setting,clean,before_norm,0.6149810569124331,0.8293,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/multilingual_vs_phobert_comparison.csv,,,,,,,,,,,,,,,,,,unknown_setting
PhoBERT,unknown_setting,clean,before_norm,0.6658011168987074,0.8588,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/multilingual_vs_phobert_comparison.csv,,,,,,,,,,,,,,,,,,unknown_setting
XLM-R,unknown_setting,clean,before_norm,0.4810628827399822,0.6476047904191616,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/multilingual_vs_phobert_comparison.csv,,,,,,,,,,,,,,,,,,unknown_setting
XLM-R,unknown_setting,clean,before_norm,0.4965927723599574,0.6699101796407185,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/multilingual_vs_phobert_comparison.csv,,,,,,,,,,,,,,,,,,unknown_setting
PhoBERT,unknown_setting,clean,before_norm,0.6658,0.8588,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/phobert_metrics.csv,,,,,,,,,,,,,,,,,,unknown_setting
BiLSTM,unknown_setting,clean,before_norm,0.615,0.8293,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/bilstm_metrics.csv,,,,,,,,,,,,,,,,,,unknown_setting
BiLSTM,bilstm_original_recheck,clean,before_norm,0.5963516579306779,0.8251497005988024,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08b/bilstm_robustness_metrics.csv,0.5797820407461481,0.6171847452321456,0.8406332539889492,0.8251497005988024,0.8321151369658168,0.9253507951356408,0.891492429704398,0.9081061231983842,5548.0,0.32149532710280376,0.38738738738738737,0.35137895812053116,444.0,0.4925,0.5726744186046512,0.5295698924731183,688.0,original_recheck
BiLSTM,bilstm_original_recheck,clean,after_norm,0.5967221209768349,0.8270958083832335,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08b/bilstm_robustness_metrics.csv,0.5813973034046803,0.6155774807855591,0.8409894796658453,0.8270958083832335,0.833395743360576,0.9254287844891872,0.8947368421052632,0.9098240469208211,5548.0,0.32695984703632885,0.38513513513513514,0.3536711478800414,444.0,0.4918032786885246,0.5668604651162791,0.5266711681296421,688.0,original_recheck
BiLSTM,bilstm_original_recheck,no_accent,before_norm,0.48530887095464287,0.7544910179640718,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08b/bilstm_robustness_metrics.csv,0.4704305743221855,0.5119935141962774,0.7933577705968238,0.7544910179640718,0.7711933837485097,0.9002732240437158,0.8314708002883923,0.8645052473763118,5548.0,0.1912568306010929,0.23648648648648649,0.21148036253776434,444.0,0.31976166832174774,0.4680232558139535,0.3799410029498525,688.0,original_recheck
BiLSTM,bilstm_original_recheck,no_accent,after_norm,0.4832516839193661,0.7604790419161677,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08b/bilstm_robustness_metrics.csv,0.47049339618253166,0.5053680201806071,0.7915581320935912,0.7604790419161677,0.7739251850387308,0.897864974033468,0.8413842826243692,0.8687075462919884,5548.0,0.19308943089430894,0.21396396396396397,0.202991452991453,444.0,0.320525783619818,0.46075581395348836,0.3780560524746571,688.0,original_recheck
